Video ID,Frame Index,QA
L02_V001,3750,1
L02_V001,3725,1
L02_V001,3775,1
L02_V001,3700,1
L02_V001,3800,1
L02_V001,3675,1
L02_V001,3825,1
L02_V001,3650,1
L02_V001,3850,1
L02_V001,3625,1
L02_V001,3875,1
L02_V001,3600,1
L02_V001,3900,1
L02_V001,3575,1
L02_V001,3925,1
L02_V001,3550,1
L02_V001,3950,1
L02_V001,3525,1
L02_V001,3975,1
L02_V001,3500,1
L02_V001,4000,1
L02_V001,3475,1
L02_V001,4025,1
L02_V001,3450,1
L02_V001,4050,1
L02_V001,3425,1
L02_V001,4075,1
L02_V001,3400,1
L02_V001,4100,1
L02_V001,3375,1
L02_V001,4125,1
L02_V001,3350,1
L02_V001,4150,1
L02_V001,3325,1
L02_V001,4175,1
L02_V001,3300,1
L02_V001,4200,1
L02_V001,3275,1
L02_V001,4225,1
L02_V001,3250,1
L02_V001,4250,1
L02_V001,3225,1
L02_V001,4275,1
L02_V001,3200,1
L02_V001,4300,1
L02_V001,3175,1
L02_V001,4325,1
L02_V001,3150,1
L02_V001,4350,1
L02_V001,3125,1
L02_V001,4375,1
L02_V001,3100,1
L02_V001,4400,1
L02_V001,3075,1
L02_V001,4425,1
L02_V001,3050,1
L02_V001,4450,1
L02_V001,3025,1
L02_V001,4475,1
L02_V001,3000,1
L02_V001,4500,1
L02_V001,2975,1
L02_V001,4525,1
L02_V001,2950,1
L02_V001,4550,1
L02_V001,2925,1
L02_V001,4575,1
L02_V001,2900,1
L02_V001,4600,1
L02_V001,2875,1
L02_V001,4625,1
L02_V001,2850,1
L02_V001,4650,1
L02_V001,2825,1
L02_V001,4675,1
L02_V001,2800,1
L02_V001,4700,1
L02_V001,2775,1
L02_V001,4725,1
L02_V001,2750,1
L02_V001,4750,1
L02_V001,2725,1
L02_V001,4775,1
L02_V001,2700,1
L02_V001,4800,1
L02_V001,2675,1
L02_V001,4825,1
L02_V001,2650,1
L02_V001,4850,1
L02_V001,2625,1
L02_V001,4875,1
L02_V001,2600,1
L02_V001,4900,1
L02_V001,2575,1
L02_V001,4925,1
L02_V001,2550,1
L02_V001,4950,1
L02_V001,2525,1
L02_V001,4975,1
L02_V001,2500,1
